State,10_mn_earnings,State_Per_Capita
AK,49300,55936
AL,40994,39373
AR,39252,39575
AZ,42600,39415
CA,49929,53434
CO,46283,50788
CT,56259,67714
DE,47200,47989
FL,42964,44478
GA,42170,41040
HI,39367,48378
IA,44911,45228
ID,40375,37729
IL,45984,50287
IN,43951,41534
KS,41881,46102
KY,40089,39593
LA,41600,43721
MA,54348,61726
MD,51796,56799
ME,47131,42689
MI,44747,43190
MN,45640,50960
MO,42107,43290
MS,38663,35840
MT,43014,41583
NC,41606,41099
ND,44438,53841
NE,44547,48162
NH,50754,55715
NJ,51923,60587
NM,38610,38877
NV,39000,42624
NY,48265,58513
OH,42940,44082
OK,40969,44186
OR,42744,43408
PA,48361,49767
RI,55456,50653
SC,38982,38500
SD,42336,45414
TN,40332,42724
TX,45126,46931
UT,43867,39433
VA,48273,52865
VT,40565,48562
WA,47817,51557
WI,44588,46176
WV,40255,37314
WY,50800,55276